Filename,Actual word
Image 1.png,Россия
Image 2.png,самая
Image 3.png,большая
Image 4.png,страна
Image 5.png,мире
Image 6.png,простирающаяся
Image 7.png,огромном
Image 8.png,пространстве
Image 9.png,Восточной
Image 10.png,Европы
Image 11.png,Северной
Image 12.png,Азии
Image 13.png,занимая
Image 14.png,площадь
Image 15.png,более
Image 16.png,семнадцати
Image 17.png,миллионов
Image 18.png,квадратных
Image 19.png,километров
Image 20.png,охватывая
Image 21.png,одиннадцать
Image 22.png,часовых
Image 23.png,поясов
Image 24.png,Этот
Image 25.png,огромный
Image 26.png,размер
Image 27.png,повлиял
Image 28.png,только
Image 29.png,географию
Image 30.png,климат
Image 31.png,страны
Image 32.png,историю
Image 33.png,культуру
Image 34.png,повседневную
Image 35.png,жизнь
Image 36.png,людей
Image 37.png,ледяных
Image 38.png,берегов
Image 39.png,Северного
Image 40.png,Ледовитого
Image 41.png,океана
Image 42.png,умеренных
Image 43.png,равнин
Image 44.png,Чёрного
Image 45.png,моря
Image 46.png,разнообразные
Image 47.png,ландшафты
Image 48.png,России
Image 49.png,столь
Image 50.png,многообразны
Image 51.png,веками
Image 52.png,формировавшаяся
Image 53.png,история
Image 54.png,Истоки
Image 55.png,российского
Image 56.png,государства
Image 57.png,уходят
Image 58.png,когда
Image 59.png,возникла
Image 60.png,Киевская
Image 61.png,Русь
Image 62.png,объединение
Image 63.png,славянских
Image 64.png,финноугорских
Image 65.png,племён
Image 66.png,властью
Image 67.png,варяжских
Image 68.png,викингских
Image 69.png,князей
Image 70.png,Принятие
Image 71.png,православного
Image 72.png,христианства
Image 73.png,князем
Image 74.png,Владимиром
Image 75.png,Киевским
Image 76.png,стало
Image 77.png,переломным
Image 78.png,моментом
Image 79.png,навсегда
Image 80.png,связав
Image 81.png,страну
Image 82.png,Византией
Image 83.png,Западной
Image 84.png,Европой
Image 85.png,решение
Image 86.png,оказало
Image 87.png,глубокое
Image 88.png,влияние
Image 89.png,российскую
Image 90.png,идентичность
Image 91.png,традиции
Image 92.png,искусство
Image 93.png,После
Image 94.png,монгольского
Image 95.png,нашествия
Image 96.png,которое
Image 97.png,разрушило
Image 98.png,регион
Image 99.png,привело
Image 100.png,многовековому
Image 101.png,монгольскому
Image 102.png,владычеству
Image 103.png,центр
Image 104.png,силы
Image 105.png,постепенно
Image 106.png,переместился
Image 107.png,Киева
Image 108.png,Московское
Image 109.png,княжество
Image 110.png,Великое
Image 111.png,княжество
Image 112.png,Московское
Image 113.png,руководством
Image 114.png,амбициозных
Image 115.png,правителей
Image 116.png,итоге
Image 117.png,сбросило
Image 118.png,монгольское
Image 119.png,начало
Image 120.png,процесс
Image 121.png,объединения
Image 122.png,русских
Image 123.png,земель
Image 124.png,Россия
Image 125.png,стала
Image 126.png,царством
Image 127.png,руководством
Image 128.png,Ивана
Image 129.png,прозванного
Image 130.png,Грозным
Image 131.png,правление
Image 132.png,ознаменовалось
Image 133.png,значительным
Image 134.png,территориальным
Image 135.png,расширением
Image 136.png,внутренним
